Date,Price,Open,High,Low,Vol,Change%
5-Nov-17,"3,432.67","3,369.68","3,438.79","3,356.53",87.86B,1.81%
29-Oct-17,"3,371.74","3,413.87","3,419.73","3,347.36",88.20B,-1.32%
22-Oct-17,"3,416.81","3,382.28","3,421.10","3,374.12",74.79B,1.13%
15-Oct-17,"3,378.65","3,393.21","3,400.51","3,359.63",74.26B,-0.35%
8-Oct-17,"3,390.52","3,403.25","3,410.17","3,358.80",85.44B,1.24%
24-Sep-17,"3,348.94","3,344.59","3,357.02","3,332.60",73.96B,-0.11%
17-Sep-17,"3,352.53","3,352.51","3,377.88","3,334.98",95.03B,-0.03%
10-Sep-17,"3,353.62","3,365.35","3,391.64","3,345.33",112.75B,-0.35%
3-Sep-17,"3,365.24","3,369.72","3,391.01","3,353.69",113.26B,-0.06%
27-Aug-17,"3,367.12","3,336.13","3,381.93","3,336.13",124.07B,1.07%
20-Aug-17,"3,331.52","3,274.58","3,331.91","3,266.36",92.18B,1.92%
13-Aug-17,"3,268.72","3,206.04","3,275.08","3,206.04",94.42B,1.88%
6-Aug-17,"3,208.54","3,257.67","3,285.48","3,200.75",122.25B,-1.64%
30-Jul-17,"3,262.08","3,252.75","3,305.43","3,251.19",125.91B,0.27%
23-Jul-17,"3,253.24","3,230.90","3,264.85","3,220.64",106.29B,0.47%
16-Jul-17,"3,237.98","3,219.79","3,247.71","3,139.50",116.74B,0.48%
9-Jul-17,"3,222.42","3,208.46","3,226.91","3,177.93",92.91B,0.14%
2-Jul-17,"3,217.96","3,192.00","3,219.52","3,174.31",78.22B,0.80%
25-Jun-17,"3,192.43","3,157.00","3,193.46","3,156.98",71.85B,1.09%
18-Jun-17,"3,157.87","3,122.16","3,186.98","3,118.09",75.90B,1.11%
11-Jun-17,"3,123.17","3,149.53","3,164.95","3,117.08",69.00B,-1.12%
4-Jun-17,"3,158.40","3,102.11","3,165.92","3,078.79",73.17B,1.70%
28-May-17,"3,105.54","3,125.33","3,143.28","3,081.85",45.85B,-0.15%
21-May-17,"3,110.06","3,087.17","3,120.66","3,022.30",81.91B,0.63%
14-May-17,"3,090.63","3,085.93","3,119.58","3,060.53",75.64B,0.23%
7-May-17,"3,083.51","3,090.07","3,093.45","3,016.53",82.74B,-0.63%
30-Apr-17,"3,103.04","3,147.23","3,154.78","3,092.09",67.22B,-1.64%
23-Apr-17,"3,154.66","3,164.25","3,164.25","3,097.33",88.43B,-0.58%
16-Apr-17,"3,173.15","3,229.95","3,229.95","3,147.07",97.03B,-2.25%
9-Apr-17,"3,246.07","3,285.46","3,290.39","3,238.90",120.52B,-1.23%
2-Apr-17,"3,286.62","3,235.66","3,295.19","3,233.24",72.97B,1.99%
26-Mar-17,"3,222.51","3,268.92","3,283.24","3,195.85",102.32B,-1.44%
19-Mar-17,"3,269.45","3,241.11","3,275.21","3,221.93",93.58B,0.99%
12-Mar-17,"3,237.45","3,209.45","3,274.19","3,193.16",84.47B,0.77%
5-Mar-17,"3,212.76","3,217.33","3,245.30","3,205.28",78.49B,-0.17%
26-Feb-17,"3,218.31","3,249.19","3,259.98","3,206.61",86.28B,-1.08%
19-Feb-17,"3,253.43","3,198.96","3,264.08","3,198.96",104.69B,1.60%
12-Feb-17,"3,202.08","3,198.99","3,238.40","3,198.99",109.37B,0.17%
5-Feb-17,"3,196.70","3,143.09","3,205.05","3,132.03",83.14B,1.80%
29-Jan-17,"3,140.17","3,160.08","3,162.68","3,136.01",9.22B,-0.60%
22-Jan-17,"3,159.17","3,125.42","3,163.10","3,125.42",48.46B,1.15%
15-Jan-17,"3,123.14","3,104.49","3,125.66","3,044.29",77.20B,0.33%
8-Jan-17,"3,112.76","3,148.53","3,174.58","3,102.16",83.50B,-1.32%
1-Jan-17,"3,154.32","3,105.31","3,172.03","3,105.31",66.79B,1.63%
25-Dec-16,"3,103.64","3,095.58","3,127.88","3,068.41",69.57B,-0.21%
18-Dec-16,"3,110.15","3,120.70","3,143.17","3,084.80",83.23B,-0.41%
11-Dec-16,"3,122.98","3,233.67","3,245.09","3,100.91",101.62B,-3.40%
4-Dec-16,"3,232.88","3,203.78","3,244.80","3,189.49",92.44B,-0.34%
27-Nov-16,"3,243.84","3,270.05","3,301.21","3,235.28",134.33B,-0.55%
20-Nov-16,"3,261.94","3,188.50","3,262.88","3,188.28",120.85B,2.16%
13-Nov-16,"3,192.86","3,187.71","3,221.46","3,186.80",121.63B,-0.10%
6-Nov-16,"3,196.04","3,124.89","3,202.74","3,096.95",116.64B,2.26%
30-Oct-16,"3,125.32","3,097.19","3,141.33","3,081.07",91.51B,0.68%
23-Oct-16,"3,104.27","3,092.05","3,137.03","3,090.79",97.53B,0.43%
