,Beta,mu_IR,mu_ID,mu_EI,alpha,mu_AR,mu_PI,c_1,c_2,c_3,c_4,c_5,c_6,rho,N,tau,loglik,loglik.se
208,0.201431719,7.80291058,2.25E-06,1.41328918,0.877883504,0.147519419,1.895854498,1.233362399,0.994012179,0.515526054,1.145252727,0.967463378,0.366257828,0.687646801,39512223,7511.340851,-4251.196235,1.58714495
209,0.205109993,3.390711423,5.83E-06,4.000171446,0.821464644,0.20109576,0.098782845,1.012272719,1.112754707,0.52895958,1.052448244,0.892213341,0.245652092,0.848577714,39512223,32855.14445,-4253.017025,1.768224224
210,0.849385927,5.507442502,9.61E-07,8.916572861,0.820008163,0.77760871,1.364906444,0.91539589,0.943711557,0.891937207,1.002384258,1.048893229,1.109716203,0.450246448,39512223,720.5141739,-4261.98732,7.910375321
211,0.415998781,6.630516806,6.68E-07,3.758968424,0.731393759,0.200069452,0.613012338,0.73568909,0.649264722,0.457829064,0.688337724,0.641489633,0.324528249,0.826436517,39512223,10098.33437,-4269.029681,8.276660544
212,0.082253454,3.80363736,3.47E-06,3.071125687,0.515555654,0.127287981,1.82574369,3.662161103,3.251354725,1.965148867,3.537231466,3.311163518,0.7817597,0.739973242,39512223,9602.012694,-4270.623745,1.835589927
213,0.452671572,1.741997564,4.13E-06,3.186222704,0.551098827,0.632058147,1.733920954,1.386686511,1.636345609,1.421876555,1.688998506,1.630531779,1.563522656,0.754861183,39512223,7937.297816,-4277.213291,5.561112349
214,0.096109922,3.846194318,1.78E-05,3.897550551,0.325058649,0.085553902,0.555320695,2.492266456,2.962751525,0.807225852,2.899727528,2.273818332,0.086694785,0.640604693,39512223,14989.06924,-4277.346608,20.19843195
215,0.328967264,12.50054981,1.04E-06,1.073548313,0.591582847,0.450569494,1.264148171,2.067502172,1.934836379,1.615303426,2.027238659,2.001930684,1.776893988,0.510007034,39512223,2314.829367,-4279.36339,16.35473519
216,0.125589579,2.352572849,3.92E-06,1.892568178,0.624914474,0.175016144,1.090282819,2.267491916,2.390452275,1.500735856,2.359388817,2.290206214,0.906259261,0.755684994,39512223,12706.96144,-4292.510466,9.523272672
217,0.063249491,2.556555819,3.07E-06,1.062350035,0.764957302,0.139022408,0.1298627,2.476640362,3.23943648,0.854275052,3.854895243,2.360027727,0.37993064,0.623069188,39512223,21671.16458,-4293.502662,1.296671364
218,0.247556608,10.15027892,4.24E-06,2.829257237,0.897180572,0.603742044,0.241811471,2.58656876,2.159884896,1.957793177,2.336263405,2.273425808,2.077945324,0.543898931,39512223,2629.449327,-4297.200452,8.752709343
219,0.110895876,3.150428476,3.56E-06,1.300746826,0.628443938,0.071509998,1.225521788,1.742335127,1.387517603,0.465504253,1.522301771,1.300076479,0.19929665,0.716867823,39512223,8585.620187,-4297.954858,0.470424454
220,0.282617732,6.383611372,2.44E-06,5.127566518,0.723371311,0.337785616,1.453321098,1.581093579,1.719062625,1.378958435,1.775636791,1.944453883,2.176760847,0.215471829,39512223,3317.350095,-4307.905675,1.449844113
221,0.858707865,5.533687509,5.76E-06,2.910348444,0.854577744,0.706554169,0.661812322,0.714138597,0.820526968,0.717301559,0.860756649,0.898490148,0.958099702,0.374578012,39512223,1845.910277,-4308.905117,9.332713456
222,0.300652228,3.00673108,2.29E-07,0.718085049,0.698644084,0.277088579,1.359774225,1.422053083,1.288953911,0.946699893,1.382234089,1.298770922,0.713566605,0.850394933,39512223,13000.31046,-4309.637527,18.36984743
223,0.493825759,3.554372936,2.46E-06,2.548300865,0.774011753,0.470497144,10.69525619,1.17484464,1.232202867,1.041270837,1.250788772,1.290644613,1.205883419,0.431192002,39512223,5318.127011,-4317.227643,0.805825898
224,0.053378739,4.80873464,8.17E-07,14.90933369,0.746832896,0.239316842,0.00545504,3.016400543,2.441327214,0.314814304,0.967549677,1.89505271,0.180123187,0.126801984,39512223,85601.15615,-4319.354695,0.497183741
225,0.193677569,5.722660344,1.16E-05,1.431627976,0.506899105,0.129407506,0.972271673,1.522526072,1.326078893,0.857494965,1.38904206,1.352110778,0.557554362,0.891849868,39512223,30105.76027,-4320.327583,2.096240558
226,0.408222915,2.225085257,4.53E-07,0.011488464,0.172283808,0.014575235,0.542321168,3.086347657,1.611435892,0.210597429,1.01570681,0.477240166,0.206162083,0.579784825,39512223,35565.54224,-4320.974603,0.189149779
227,0.488238483,15.40167021,3.48E-06,3.216982581,0.208038145,0.451732064,0.575011269,1.31807602,1.036756697,1.020460639,1.170369411,1.155856312,1.181959116,0.432579699,39512223,2229.498616,-4323.961077,9.134559878
228,0.113191602,16.1082191,5.84E-08,3.282560821,0.574064124,0.081268061,0.232682774,1.850688152,1.2038195,0.538670247,1.437291303,1.260264211,0.193648548,0.83517361,39512223,13856.36454,-4327.07065,0.854651114
229,0.191337353,25.1279367,5.72E-06,6.512715033,0.619355997,0.162034662,0.773292727,1.836097015,1.292707717,0.951031215,1.464853031,1.406536501,0.654761396,0.652120491,39512223,5657.072509,-4331.318771,5.649307837
230,0.167172743,29.4601509,1.13E-06,4.756779477,0.621347908,0.168385054,1.089926644,2.115617524,1.634139096,1.159808091,1.760781609,1.739956162,0.689981154,0.824048645,39512223,12861.27419,-4339.334702,3.864260862
231,0.037369323,6.534899007,1.68E-05,2.380902736,0.887130815,0.091271187,1.187884347,5.140971769,3.493267904,1.463188996,4.130670643,3.513332215,0.365623795,0.872109199,39512223,18162.68801,-4343.94526,1.531788676
232,0.131555747,5.923084127,1.47E-06,3.353876663,0.748233668,0.127919502,0.104325373,1.326890777,1.382122299,0.557460232,1.436781327,2.083741067,3.587823008,0.0889893,39512223,6525.311732,-4344.715728,8.130149562
233,0.299809612,4.473585683,6.34E-07,0.912970266,0.669041222,0.285840216,0.880891278,1.149380211,1.407669079,0.92357377,1.445210737,1.289641143,0.75669663,0.856090692,39512223,19928.90817,-4346.45529,14.53590607
234,0.122792037,5.172786976,1.75E-06,2.371377544,0.742972866,0.184600465,5.295532421,2.53480379,2.363608006,1.482252681,2.449443663,2.281038443,0.801821872,0.893303842,39512223,19763.24856,-4346.981492,1.336420275
235,0.323034109,3.5753763,1.34E-07,2.847814721,0.615545012,0.203484989,3.283976974,1.051711869,1.11502177,0.733751537,1.144879076,1.111204475,0.569379804,0.525560791,39512223,4828.081072,-4365.22974,17.46110676
236,0.642476419,13.34057997,1.30E-06,2.447628004,0.151384635,0.203273618,1.171077101,1.209342327,1.023944511,0.881952502,1.078988559,1.092145357,0.847183521,0.548409465,39512223,2415.782715,-4370.243616,2.731025564
237,0.060809785,0.773783225,2.64E-06,2.058288666,0.712344088,0.400591579,0.003649405,1.441598022,2.563869837,0.189892006,0.58779573,1.34232605,0.410987082,0.538578075,39512223,69210.13114,-4384.41179,1.373955669
238,0.065507937,4.205536505,5.77E-07,1.942192783,0.228493267,0.154915769,0.176384731,2.77845138,3.456635635,1.564705996,3.661811152,3.062956957,1.133532105,0.343347639,39512223,9242.813001,-4387.972115,15.05217875
239,0.042432457,6.655932744,5.76E-06,0.666834525,0.692002638,0.10204904,2.403499743,6.120392384,4.06063434,2.2139491,4.842349063,4.381701558,0.453206572,0.950822972,39512223,45931.80183,-4390.201933,7.974219077
240,0.441673777,4.99679364,1.27E-06,5.713810208,0.635224962,0.526804314,0.824518439,1.362150905,1.347115799,1.224831212,1.409007059,1.382603458,1.265256956,0.665907174,39512223,1926.915293,-4392.445432,7.773760916
241,0.057678695,2.713367445,3.73E-07,2.899288484,0.516241582,0.059604636,0.560742275,1.982975464,2.788820041,0.286652309,3.729770639,1.908738646,0.266423072,0.50884071,39512223,631306.5574,-4394.63348,0.121129017
242,0.299342851,4.76938597,3.23E-05,0.330322563,0.423415761,0.134938046,0.511161829,0.99394966,1.142241273,0.342576413,1.193031063,0.871374579,0.155870302,0.82960737,39512223,25049.67513,-4394.839688,1.681254889
243,0.13287146,7.943968539,5.46E-07,1.129951117,0.953595441,0.222134505,1.752434997,2.116715659,2.231576182,1.429785306,2.378594911,2.795640888,3.692659202,0.142446096,39512223,1979.13176,-4405.097701,42.78672957
244,0.262888366,3.88714434,2.28E-07,1.072798095,0.445024795,1.119445028,0.359774955,2.054271858,1.894289121,1.592947172,2.092631595,2.110947912,1.864879519,0.373110626,39512223,1942.089555,-4407.834901,12.97811885
245,0.208942897,9.069280031,1.73E-06,4.911906108,0.40418791,0.459096599,0.18616521,1.511626932,1.349998356,0.96895123,1.392146425,1.387309368,1.115996654,0.334721481,39512223,1835.550672,-4410.608038,11.38137971
246,0.130211655,8.79012304,1.03E-05,5.829412117,0.537625383,0.177465236,0.723221885,2.811216157,2.269957738,1.783814383,2.429729659,2.599049737,1.849495684,0.309031035,39512223,1873.335885,-4415.460713,6.00556381
