Beta,mu_IR,mu_EI,rho,eta,N,loglik,loglik.se
11.96032437571818,2,46.71176045709529,0.1461491732653937,0.19776192829987846,38000,-121.09143488667205,0.04806146611666846
11.03126222753505,2,88.9673415017422,0.13438425812770322,0.2127586206896552,38000,-121.12008131740227,0.25004080651153
11.349973836108859,2,117.48891108107968,0.13672676083817362,0.2090296533895055,38000,-121.12124567421989,0.07873576153444946
19.084046436268075,2,12.370112089297006,0.20262797822918044,0.12830551412170732,38000,-121.12576650304767,0.09794980120446097
12.690054797969635,2,11.583593135079791,0.1625215436081789,0.18390981306203083,38000,-121.12854694343218,0.08487965597376916
16.169375735915803,2,14.110983409129886,0.18037850642729647,0.1488499440741904,38000,-121.12944735945317,0.07956639480531025
14.826802386524006,2,32.77946192535914,0.19353883456323218,0.15482758620689654,38000,-121.13414818847866,0.20951436974464419
11.668381622931458,2,54.33556808249518,0.17336492620533925,0.19226653573962088,38000,-121.13573004165276,0.084021661249060145
33.987823056098556,1.3,6.653920182890649,0.38478813231615483,0.05464594528250774,38000,-121.13611231507225,0.13501316906099514
23.958053004195083,2,4.386638119851965,0.23814112452297476,0.1056968081218609,38000,-121.1417548675804,0.09955463028463515
16.324847421841874,2,10.949613532522157,0.1893993847016481,0.1487561786455337,38000,-121.14320281233616,0.07886335705527302
22.205931470031544,2,12.631802663357284,0.24094546969036607,0.11169872106807105,38000,-121.14434657104609,0.10749493653368915
11.500598778094734,2,25.799543078931126,0.14844431029232943,0.2002297385638899,38000,-121.15151336310979,0.049711589436899906
12.986201621945579,2,70.95157913208949,0.16154660703389156,0.1776164975186825,38000,-121.1544918255322,0.054212250802327326
16.7961343128637,2,10.704164899435158,0.1822159667526803,0.14677288540161423,38000,-121.15746073489849,0.06994190681515014
10.217109157999381,2,83.13764549188029,0.13748122673203184,0.22482545026101058,38000,-121.16054157847192,0.07195803749645113
18.247500921947935,2,254.48788166732783,0.2720636542787064,0.12586206896551724,38000,-121.16428348210108,0.5138707069055594
23.38135959589467,2,231.8073744600916,0.3081384698617414,0.09689655172413794,38000,-121.16792480752413,0.6123034002495604
11.086265218202028,2,83.00107870616371,0.13636329516973375,0.2127586206896552,38000,-121.17116545421382,0.16713683985596195
10.879651499925162,2,34.89499128183949,0.13748122673203184,0.2127586206896552,38000,-121.17342950749666,0.1564826259569893
43.35876938641801,2,3.53890390614204,0.4536123802859751,0.05752401468514326,38000,-121.18173647246145,0.5437293537419798
15.293007597178473,2,14.568518411343838,0.19211400080814384,0.15482758620689654,38000,-121.18617897662504,0.21454634622861088
25.92981558005586,2,10.27803329109166,0.32939376994929603,0.08851644403796952,38000,-121.19040499638199,0.23115781086893553
21.017976344222486,2,5.306865374597567,0.22049317518592185,0.11717987223205,38000,-121.21585804109054,0.08759779331370184
26.62137840958816,2,28.396362964733054,0.2903293709976984,0.09324043340441672,38000,-121.21779623685258,0.21838772222598252
14.343537930327146,2,10.059826496535235,0.1625215436081789,0.16636374902143747,38000,-121.22319047029599,0.13981973689998659
14.681798556157641,2,230.45304190011737,0.24663596240904173,0.1478841388730335,38000,-121.22395692636184,0.2363278330591827
14.142476922270776,2,9.496011868484494,0.16237146600097804,0.17178595550133513,38000,-121.23644057717202,0.10371732965468156
20.09848828999408,2,755.0511583195148,0.2720636542787064,0.11161056506129091,38000,-121.2402387387407,0.1492088242553793
25.23911374453509,2,143.99381102374218,0.2924896483299324,0.0936445520159828,38000,-121.2461154379803,0.1815480002165089
12.58374692583336,2,32.52295062043779,0.1461491732653937,0.18999869201466565,38000,-121.24620517604353,0.07947345681191686
10.50945089568841,2,23.858466662757824,0.13200709331810576,0.220479270480055,38000,-121.24724830414156,0.09131741122574943
18.97712869048829,2,70.44195869657739,0.23967988867013332,0.12586206896551724,38000,-121.25998463068025,0.25169418233314134
10.799902667114244,2,52.88581558835316,0.13200709331810576,0.21870902158166866,38000,-121.26527906636558,0.07922511520222127
35.58260275358654,2,6.357192699609898,0.35511994469462177,0.07119650877887339,38000,-121.26849622862159,0.17047539931418604
27.373309504789596,2,4.276120620246424,0.2903293709976984,0.08918517943521441,38000,-121.26871520218363,0.17040015522684382
17.6770753410174,2,19.48928309714043,0.23181406043477,0.12729195017334563,38000,-121.2692308771857,0.22980138020852658
11.076389138733818,2,57.74599884582955,0.13311821750618139,0.21163108616163845,38000,-121.28219573535526,0.0974734126120539
15.280912238502944,2,91.20127968967549,0.17687847281709806,0.15482758620689654,38000,-121.283043809107,0.20559562168425327
25.999721274139663,2,10.261276015428933,0.32939376994929603,0.0897987237123641,38000,-121.28661090880992,0.20177408951939196
12.573793476380738,2,307.10034007604776,0.1648729320250837,0.18379310344827587,38000,-121.29392695070943,0.2972652266811925
17.315654164576067,2,27.469284782781557,0.2776734143961188,0.12586206896551724,38000,-121.29882845057519,0.7075155756969611
18.08224064729103,2,6.255261413011798,0.22380351326060263,0.1305777849569771,38000,-121.29927027675429,0.13840453397240277
11.677045811919237,2,46.68927423165748,0.13636329516973375,0.20297696106887264,38000,-121.29935049565894,0.06893297671025003
